hour,src_ip,username,src_port,result,auth_method,label,timestamp
0,103.45.67.89,ubuntu,45446,Failed,password,1,2024-01-15 00:00:04
0,193.32.162.45,test,22854,Failed,password,1,2024-01-15 00:00:30
0,42.96.145.33,centos,27850,Failed,password,1,2024-01-15 00:01:23
0,103.45.67.89,oracle,60591,Failed,password,1,2024-01-15 00:01:31
0,193.32.162.45,pi,1349,Failed,password,1,2024-01-15 00:01:33
0,194.165.16.72,git,61267,Failed,password,1,2024-01-15 00:02:11
0,91.108.4.0,pi,43569,Failed,password,1,2024-01-15 00:02:21
0,185.220.101.45,admin,48404,Failed,password,1,2024-01-15 00:02:27
0,42.96.145.33,mysql,41093,Failed,password,1,2024-01-15 00:03:31
0,193.32.162.45,mysql,6785,Failed,password,1,2024-01-15 00:04:06
0,45.142.212.61,mysql,61304,Accepted,password,1,2024-01-15 00:04:12
0,42.96.145.33,centos,51724,Failed,password,1,2024-01-15 00:04:28
0,45.142.212.61,oracle,61981,Failed,password,1,2024-01-15 00:04:31
0,159.89.166.45,postgres,50442,Failed,password,1,2024-01-15 00:04:34
0,185.234.218.33,postgres,54318,Failed,password,1,2024-01-15 00:05:10
0,193.32.162.45,oracle,47520,Failed,password,1,2024-01-15 00:05:13
0,185.220.101.45,root,60710,Failed,password,1,2024-01-15 00:05:13
0,42.96.145.33,postgres,25549,Failed,password,1,2024-01-15 00:05:19
0,194.165.16.72,postgres,43532,Failed,password,1,2024-01-15 00:05:26
0,185.234.218.33,root,39082,Failed,password,1,2024-01-15 00:05:40
0,194.165.16.72,pi,43618,Failed,password,1,2024-01-15 00:06:27
0,165.232.189.42,oracle,27176,Failed,password,1,2024-01-15 00:06:48
0,45.142.212.61,centos,14509,Failed,password,1,2024-01-15 00:07:16
0,5.188.206.14,test,35358,Failed,password,1,2024-01-15 00:07:49
0,185.220.101.45,user,53602,Failed,password,1,2024-01-15 00:07:52
0,45.142.212.61,mysql,8086,Failed,password,1,2024-01-15 00:08:01
0,42.96.145.33,pi,58670,Failed,password,1,2024-01-15 00:08:01
0,159.89.166.45,root,15324,Failed,password,1,2024-01-15 00:08:24
0,5.188.206.14,ubuntu,39466,Failed,password,1,2024-01-15 00:08:46
0,165.232.189.42,admin,21394,Failed,password,1,2024-01-15 00:09:02
0,185.234.218.33,root,28444,Failed,password,1,2024-01-15 00:09:09
0,5.188.206.14,pi,24740,Failed,password,1,2024-01-15 00:09:10
0,103.45.67.89,user,8330,Failed,password,1,2024-01-15 00:09:44
0,165.232.189.42,git,8140,Failed,password,1,2024-01-15 00:10:02
0,42.96.145.33,git,35535,Failed,password,1,2024-01-15 00:10:23
0,185.220.101.45,centos,64313,Failed,password,1,2024-01-15 00:11:11
0,193.32.162.45,centos,64499,Failed,password,1,2024-01-15 00:11:26
0,45.142.212.61,ubuntu,34998,Failed,password,1,2024-01-15 00:12:33
0,42.96.145.33,mysql,11826,Failed,password,1,2024-01-15 00:13:23
0,185.234.218.33,oracle,38703,Failed,password,1,2024-01-15 00:13:54
0,91.108.4.0,git,41785,Failed,password,1,2024-01-15 00:14:48
0,165.232.189.42,centos,40609,Failed,password,1,2024-01-15 00:15:32
0,185.220.101.45,oracle,64217,Failed,password,1,2024-01-15 00:15:47
0,194.165.16.72,ubuntu,36756,Failed,password,1,2024-01-15 00:15:52
0,165.232.189.42,git,3095,Failed,password,1,2024-01-15 00:16:15
0,42.96.145.33,git,44467,Failed,password,1,2024-01-15 00:16:24
0,103.45.67.89,git,63820,Failed,password,1,2024-01-15 00:16:27
0,42.96.145.33,postgres,20419,Failed,password,1,2024-01-15 00:17:55
0,42.96.145.33,mysql,32507,Failed,password,1,2024-01-15 00:17:58
0,193.32.162.45,pi,39609,Failed,password,1,2024-01-15 00:18:00
0,165.232.189.42,admin,22346,Failed,password,1,2024-01-15 00:18:54
0,178.20.55.18,test,11758,Failed,password,1,2024-01-15 00:19:04
0,45.142.212.61,centos,9095,Failed,password,1,2024-01-15 00:19:26
0,165.232.189.42,centos,45202,Failed,password,1,2024-01-15 00:20:00
0,103.45.67.89,root,9268,Failed,password,1,2024-01-15 00:20:40
0,103.45.67.89,root,49138,Failed,password,1,2024-01-15 00:20:42
0,194.165.16.72,centos,10378,Failed,password,1,2024-01-15 00:20:46
0,185.220.101.45,oracle,28694,Accepted,password,1,2024-01-15 00:21:01
0,159.89.166.45,postgres,18385,Failed,password,1,2024-01-15 00:21:22
0,103.45.67.89,root,7418,Failed,password,1,2024-01-15 00:21:25
0,165.232.189.42,pi,8884,Failed,password,1,2024-01-15 00:21:38
0,194.165.16.72,admin,23417,Failed,password,1,2024-01-15 00:21:49
0,103.45.67.89,postgres,26339,Failed,password,1,2024-01-15 00:22:25
0,103.45.67.89,mysql,52919,Failed,password,1,2024-01-15 00:22:27
0,178.20.55.18,pi,61475,Failed,password,1,2024-01-15 00:22:45
0,159.89.166.45,mysql,43063,Failed,password,1,2024-01-15 00:23:43
0,185.234.218.33,user,52092,Failed,password,1,2024-01-15 00:23:54
0,194.165.16.72,postgres,41508,Failed,password,1,2024-01-15 00:23:55
0,185.220.101.45,centos,48117,Failed,password,1,2024-01-15 00:23:59
0,91.108.4.0,mysql,64924,Failed,password,1,2024-01-15 00:24:40
0,165.232.189.42,pi,34633,Failed,password,1,2024-01-15 00:24:44
0,103.45.67.89,oracle,25788,Failed,password,1,2024-01-15 00:25:13
0,185.220.101.45,git,61870,Failed,password,1,2024-01-15 00:26:11
0,165.232.189.42,centos,25754,Failed,password,1,2024-01-15 00:26:41
0,178.20.55.18,oracle,47097,Failed,password,1,2024-01-15 00:26:49
0,91.108.4.0,ubuntu,19363,Failed,password,1,2024-01-15 00:26:55
0,193.32.162.45,mysql,52658,Failed,password,1,2024-01-15 00:27:13
0,159.89.166.45,admin,29527,Failed,password,1,2024-01-15 00:27:44
0,103.45.67.89,mysql,29017,Failed,password,1,2024-01-15 00:27:48
0,185.234.218.33,centos,55310,Failed,password,1,2024-01-15 00:28:14
0,45.142.212.61,root,46096,Failed,password,1,2024-01-15 00:28:26
0,178.20.55.18,test,51959,Failed,password,1,2024-01-15 00:29:42
0,5.188.206.14,ubuntu,52603,Failed,password,1,2024-01-15 00:29:49
0,103.45.67.89,admin,18976,Failed,password,1,2024-01-15 00:29:50
0,194.165.16.72,mysql,52023,Failed,password,1,2024-01-15 00:30:24
0,103.45.67.89,centos,56805,Failed,password,1,2024-01-15 00:30:42
0,194.165.16.72,pi,1139,Failed,password,1,2024-01-15 00:30:43
0,185.220.101.45,user,33940,Failed,password,1,2024-01-15 00:30:55
0,185.234.218.33,centos,26275,Failed,password,1,2024-01-15 00:31:02
0,103.45.67.89,pi,42173,Failed,password,1,2024-01-15 00:31:02
0,185.220.101.45,root,63152,Failed,password,1,2024-01-15 00:31:16
0,165.232.189.42,mysql,58731,Failed,password,1,2024-01-15 00:31:41
0,185.234.218.33,pi,58743,Failed,password,1,2024-01-15 00:31:58
0,194.165.16.72,user,10152,Failed,password,1,2024-01-15 00:32:05
0,5.188.206.14,ubuntu,31450,Failed,password,1,2024-01-15 00:32:18
0,159.89.166.45,user,36111,Failed,password,1,2024-01-15 00:32:22
0,178.20.55.18,pi,21793,Failed,password,1,2024-01-15 00:34:55
0,185.220.101.45,user,28723,Failed,password,1,2024-01-15 00:35:08
0,42.96.145.33,ubuntu,20792,Failed,password,1,2024-01-15 00:35:10
0,42.96.145.33,git,8379,Failed,password,1,2024-01-15 00:36:05
0,185.220.101.45,postgres,23458,Failed,password,1,2024-01-15 00:36:24
0,159.89.166.45,mysql,24111,Failed,password,1,2024-01-15 00:36:46
0,165.232.189.42,mysql,27322,Failed,password,1,2024-01-15 00:36:52
0,159.89.166.45,oracle,14196,Failed,password,1,2024-01-15 00:36:59
0,91.108.4.0,oracle,38683,Failed,password,1,2024-01-15 00:37:17
0,165.232.189.42,git,28312,Failed,password,1,2024-01-15 00:37:34
0,178.20.55.18,root,14533,Failed,password,1,2024-01-15 00:37:54
0,194.165.16.72,centos,36029,Failed,password,1,2024-01-15 00:38:39
0,194.165.16.72,ubuntu,53739,Failed,password,1,2024-01-15 00:39:02
